NC_007618.1, Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella
NZ_VNGZ01000001.1, Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Weissella
NC_003228.3, Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides
NVTK01000009, Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Pseudoalteromonadaceae; Pseudoalteromonas
CP011102, Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria
CP002453, Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga
NZ_CP009610.1, Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Haemophilus
NC_007677.1, Bacteria; Bacteroidetes; Bacteroidetes Order II. Incertae sedis; Rhodothermaceae; Salinibacter
NC_009438.1, Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella
NC_018681.1, Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Nocardia
NZ_CM001153, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella
NZ_QGLK01000001.1, Bacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium
NC_010163.1, Bacteria; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Acholeplasma
AP014630, Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter
NZ_CP033724.1, Bacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Clavibacter
CP012196, Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter
NZ_JAAXPD010000001.1, Bacteria; Actinobacteria; Corynebacteriales; Gordoniaceae; Gordonia
NZ_QEOC01000001.1, Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus
NZ_LCZH01000038.1, Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Delftia
NZ_QANO01000198.1, Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas
CP012598, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella
NZ_CP050956.1, Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Tannerellaceae; Parabacteroides
NZ_CADIKU010000001.1, Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter
NZ_BCTM01000001, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Kluyvera
CP040255.1, Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium avium complex (MAC)
NZ_KE136308.1, Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Erwiniaceae; Erwinia
NZ_LS999521.1, Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex
